,Date,Close,Predicted
71,2019-07-09,15.337333,20.303852
72,2019-07-10,15.928,20.283215
73,2019-07-11,15.906667,20.623722
74,2019-07-12,16.338667,20.63353
75,2019-07-15,16.9,20.968376
76,2019-07-16,16.825333,21.422115
77,2019-07-17,16.990667,21.405596
78,2019-07-18,16.902666,21.54933
79,2019-07-19,17.212,21.48594
80,2019-07-22,17.045334,21.723356
81,2019-07-23,17.344667,21.60116
82,2019-07-24,17.658667,21.836414
83,2019-07-25,15.254667,22.098402
84,2019-07-26,15.202667,20.386934
85,2019-07-29,15.718,20.24994
86,2019-07-30,16.150667,20.468426
87,2019-07-31,16.107332,20.771427
88,2019-08-01,15.59,20.77523
89,2019-08-02,15.622667,20.46393
90,2019-08-05,15.221333,20.468931
91,2019-08-06,15.383333,20.232023
92,2019-08-07,15.561333,20.294151
93,2019-08-08,15.886667,20.39242
94,2019-08-09,15.667333,20.603832
95,2019-08-12,15.267333,20.490896
96,2019-08-13,15.666667,20.26969
97,2019-08-14,14.641333,20.46653
98,2019-08-15,14.376,20.018276
99,2019-08-16,14.662667,19.89775
100,2019-08-19,15.122,19.951572
101,2019-08-20,15.057333,20.101288
102,2019-08-21,14.722,20.096907
103,2019-08-22,14.81,19.99841
104,2019-08-23,14.093333,20.015537
105,2019-08-26,14.333333,19.869692
106,2019-08-27,14.272,19.860188
107,2019-08-28,14.372667,19.847628
108,2019-08-29,14.780667,19.858095
109,2019-08-30,15.040667,19.978773
110,2019-09-03,15.000667,20.07569
111,2019-09-04,14.712,20.077585
112,2019-09-05,15.305333,19.994635
113,2019-09-06,15.163333,20.218597
114,2019-09-09,15.452667,20.162106
115,2019-09-10,15.702667,20.323277
116,2019-09-11,16.473333,20.485144
117,2019-09-12,16.391333,21.050652
118,2019-09-13,16.346666,21.0307
119,2019-09-16,16.187332,21.020412
120,2019-09-17,16.319332,20.896877
121,2019-09-18,16.232668,20.98501
122,2019-09-19,16.440001,20.915983
123,2019-09-20,16.041332,21.071901
124,2019-09-23,16.082001,20.77413
125,2019-09-24,14.880667,20.792784
126,2019-09-25,15.246667,20.13373
127,2019-09-26,16.170668,20.214808
128,2019-09-27,16.142,20.782694
129,2019-09-30,16.058001,20.799002
130,2019-10-01,16.312668,20.767492
131,2019-10-02,16.208668,20.966076
132,2019-10-03,15.535333,20.895945
133,2019-10-04,15.428667,20.455809
134,2019-10-07,15.848,20.361403
135,2019-10-08,16.003332,20.58039
136,2019-10-09,16.302,20.690159
137,2019-10-10,16.316,20.935701
138,2019-10-11,16.525999,20.970818
139,2019-10-14,17.130667,21.146048
140,2019-10-15,17.192667,21.622614
141,2019-10-16,17.316668,21.705063
142,2019-10-17,17.464666,21.82594
143,2019-10-18,17.129999,21.95181
144,2019-10-21,16.9,21.692915
145,2019-10-22,17.038668,21.500383
146,2019-10-23,16.978666,21.582592
147,2019-10-24,19.978666,21.531582
148,2019-10-25,21.875334,24.027485
149,2019-10-28,21.847334,25.73021
150,2019-10-29,21.081333,25.873411
151,2019-10-30,21.000668,25.336561
152,2019-10-31,20.994667,25.250694
153,2019-11-01,20.887333,25.22069
154,2019-11-04,21.164667,25.119234
155,2019-11-05,21.148001,25.323095
156,2019-11-06,21.771999,25.31179
157,2019-11-07,22.369333,25.82561
158,2019-11-08,22.476,26.356483
159,2019-11-11,23.006001,26.49469
160,2019-11-12,23.328667,26.971073
161,2019-11-13,23.073999,27.28903
162,2019-11-14,23.290001,27.101265
163,2019-11-15,23.478001,27.287886
164,2019-11-18,23.332666,27.461754
165,2019-11-19,23.968,27.344973
166,2019-11-20,23.481333,27.886982
167,2019-11-21,23.655333,27.504726
168,2019-11-22,22.202667,27.640911
169,2019-11-25,22.422667,26.387676
170,2019-11-26,21.927999,26.498854
171,2019-11-27,22.086,26.056952
172,2019-11-29,21.996,26.15846
173,2019-12-02,22.324667,26.076702
174,2019-12-03,22.413334,26.349342
175,2019-12-04,22.202,26.440382
176,2019-12-05,22.024668,26.278591
177,2019-12-06,22.392668,26.126026
178,2019-12-09,22.635332,26.423368
179,2019-12-10,23.256001,26.641811
180,2019-12-11,23.513332,27.194242
181,2019-12-12,23.978666,27.463951
182,2019-12-13,23.892668,27.89011
183,2019-12-16,25.433332,27.85679
184,2019-12-17,25.266001,29.2363
185,2019-12-18,26.209999,29.17198
186,2019-12-19,26.936001,30.141407
187,2019-12-20,27.039333,30.907122
188,2019-12-23,27.948,31.086067
189,2019-12-24,28.35,31.995342
190,2019-12-26,28.729334,32.47126
191,2019-12-27,28.691999,32.917934
192,2019-12-30,27.646667,32.946663
193,2019-12-31,27.888666,31.94489
194,2020-01-02,28.684,32.11455
195,2020-01-03,29.534,32.875645
196,2020-01-06,30.102667,33.78856
197,2020-01-07,31.270666,34.442154
198,2020-01-08,32.809334,35.806755
199,2020-01-09,32.089333,37.523613
200,2020-01-10,31.876667,37.00534
201,2020-01-13,34.990665,36.92912
202,2020-01-14,35.861332,39.90251
203,2020-01-15,34.566666,40.82327
204,2020-01-16,34.232666,39.695377
205,2020-01-17,34.033333,39.50221
206,2020-01-21,36.48,39.283257
207,2020-01-22,37.970669,41.930893
208,2020-01-23,38.146667,43.584484
209,2020-01-24,37.654667,43.89643
210,2020-01-27,37.201332,43.552017
211,2020-01-28,37.793331,43.220093
212,2020-01-29,38.732666,43.883167
213,2020-01-30,42.720669,44.781803
214,2020-01-31,43.371334,48.534073
215,2020-02-03,52.0,49.009964
216,2020-02-04,59.137333,54.850986
217,2020-02-05,48.98,59.287178
218,2020-02-06,49.930668,53.10192
219,2020-02-07,49.871334,53.872864
220,2020-02-10,51.418667,54.297935
221,2020-02-11,51.625332,55.417377
222,2020-02-12,51.152668,55.99703
223,2020-02-13,53.599998,55.663723
224,2020-02-14,53.335335,56.918865
225,2020-02-18,57.226665,56.672417
226,2020-02-19,61.161331,59.197624
227,2020-02-20,59.960667,61.561703
